thing	stage	tx	value	plot	x
ASO	pre	active ASO 1	13.3	1	1
ASO	pre	active ASO 1	8.9	1	1
ASO	term	active ASO 1	8.8	1	2
ASO	term	active ASO 1	8.9	1	2
ASO	term	active ASO 1	9.8	1	2
ASO	term	active ASO 1	7.6	1	2
ASO	term	active ASO 1	6.6	1	2
ASO	term	active ASO 1	6.2	1	2
ASO	term	active ASO 1	7.2	1	2
ASO	term	control ASO	6.3	1	3
ASO	term	control ASO	5.5	1	3
ASO	term	control ASO	5.5	1	3
ASO	term	control ASO	5.1	1	3
ASO	term	control ASO	3.4	1	3
ASO	term	control ASO	6.5	1	3
ASO	term	control ASO	5.2	1	3
ASO	term	no treatment	0.3	1	4
ASO	term	no treatment	0.2	1	4
ASO	term	no treatment	0.6	1	4
ASO	term	saline	0.3	1	5
ASO	term	saline	0.1	1	5
ASO	term	saline	0	1	5
ASO	term	saline	0.1	1	5
ASO	term	saline	0.08	1	5
ASO	term	saline	0.2	1	5
ASO	term	saline	0.1	1	5
ASO	term	saline	0.2	1	5
ASO	term	saline	0.3	1	5
PrP	pre	active ASO 1	42.1	2	1
PrP	pre	active ASO 1	26.9	2	1
PrP	term	active ASO 1	54.6	2	2
PrP	term	active ASO 1	56.6	2	2
PrP	term	active ASO 1	58.2	2	2
PrP	term	active ASO 1	65	2	2
PrP	term	active ASO 1	63.2	2	2
PrP	term	active ASO 1	53.7	2	2
PrP	term	active ASO 1	61.5	2	2
PrP	term	control ASO	68.4	2	3
PrP	term	control ASO	67.7	2	3
PrP	term	control ASO	65.2	2	3
PrP	term	control ASO	65.2	2	3
PrP	term	control ASO	58.3	2	3
PrP	term	control ASO	55.5	2	3
PrP	term	control ASO	61.5	2	3
PrP	term	no treatment	63.1	2	4
PrP	term	no treatment	73.5	2	4
PrP	term	no treatment	70.8	2	4
PrP	term	saline	67	2	5
PrP	term	saline	66	2	5
PrP	term	saline	73.7	2	5
PrP	term	saline	59.4	2	5
PrP	term	saline	66.2	2	5
PrP	term	saline	63.7	2	5
PrP	term	saline	67.4	2	5
PrP	term	saline	54.8	2	5
PrP	term	saline	72.1	2	5
