treatment	dpi	mean	sd	n	l95	u95
active ASO 1	-13	19.6916666666667	1.03700471931365	12	19.1049260118969	20.2784073214364
active ASO 1	126	24.8909090909091	2.21018304466148	11	23.5847743782537	26.1970438035645
active ASO 1	139	25.8818181818182	2.25735162605128	11	24.5478086188654	27.215827744771
active ASO 1	143	26.9727272727273	2.60618146301861	11	25.4325724495556	28.5128820958989
active ASO 1	147	27.3454545454545	2.81117898269165	11	25.6841539298111	29.006755161098
active ASO 1	155	26.1090909090909	2.53513492558268	11	24.6109219064979	27.6072599116839
active ASO 1	163	27.1454545454545	2.87797277136655	11	25.4446813231468	28.8462277677623
active ASO 1	168	27.0909090909091	3.11334371551056	11	25.2510405293083	28.9307776525099
active ASO 1	175	27.2909090909091	2.96359732266533	11	25.5395349923631	29.0422831894551
active ASO 1	187	27.2454545454545	2.88352688087475	11	25.5413990541764	28.9495100367327
active ASO 1	189	27.6818181818182	3.16348484485644	11	25.8123181063351	29.5513182573013
active ASO 1	193	27.7545454545455	2.88768545252548	11	26.0480324044686	29.4610585046223
active ASO 1	195	28.3727272727273	2.84959327241307	11	26.6887252625598	30.0567292828947
active ASO 1	197	27.4181818181818	2.80493072350038	11	25.7605736877573	29.0757899486064
active ASO 1	199	27.7363636363636	2.89491717576608	11	26.0255769109549	29.4471503617724
active ASO 1	201	27.7818181818182	2.69696799455173	11	26.18801194703	29.3756244166063
active ASO 1	203	27.9	2.68141753555838	11	26.3153834992196	29.4846165007804
active ASO 1	205	27.9272727272727	2.83869368163982	11	26.2497119636333	29.6048334909122
active ASO 1	207	27.6909090909091	2.77360939768185	11	26.0518106812051	29.3300075006131
active ASO 1	209	27.5727272727273	2.58537846710725	11	26.0448662345219	29.1005883109327
active ASO 1	211	27.2909090909091	2.8654683894451	11	25.5975254860936	28.9842926957246
active ASO 1	213	27.4818181818182	2.93251365958223	11	25.7488133542913	29.214823009345
active ASO 1	215	27.7454545454545	2.79762886615206	11	26.0921615369709	29.3987475539382
active ASO 1	217	27.7818181818182	3.00426968889884	11	26.0064082508049	29.5572281128314
active ASO 1	219	27.5272727272727	3.02195000259465	11	25.7414143985557	29.3131310559897
active ASO 1	221	27.6727272727273	3.02095710300259	11	25.8874557101727	29.4579988352819
active ASO 1	223	27.0363636363636	2.85035882908546	11	25.3519092111138	28.7208180616135
active ASO 1	225	26.6818181818182	2.49592394989037	11	25.2068213850714	28.1568149785649
active ASO 1	231	26.2363636363636	2.27915454819226	11	24.8894693698047	27.5832579029225
active ASO 1	233	25.6636363636364	2.20239539014807	11	24.3621038607006	26.9651688665722
active ASO 1	235	25.4181818181818	2.0242619305901	11	24.221919462701	26.6144441736626
active ASO 1	237	25.0909090909091	1.95471458042065	11	23.9357465929486	26.2460715888695
active ASO 1	239	25.6909090909091	1.98869532380128	11	24.5156652568808	26.8661529249374
active ASO 1	241	25.7909090909091	1.92273479474136	11	24.6546454385804	26.9271727432378
active ASO 1	243	25.6909090909091	2.02062096666077	11	24.4967984076109	26.8850197742073
active ASO 1	245	25.4909090909091	2.3471065359095	11	24.1038577657908	26.8779604160274
active ASO 1	247	25.1454545454545	2.54179607221494	11	23.6433490567576	26.6475600341515
active ASO 1	249	24.7545454545455	2.63452600532378	11	23.1976400772926	26.3114508317984
active ASO 1	251	24.7545454545455	2.6303473673124	11	23.2001094945526	26.3089814145383
active ASO 1	253	24.61	2.60702043635173	10	22.9941519928464	26.2258480071536
active ASO 1	255	23.225	2.34716140618124	4	20.9247818219424	25.5252181780576
active ASO 1	257	24.17	2.41203003482313	10	22.6750082958238	25.6649917041762
active ASO 1	259	24.71	2.78665470491851	10	22.9828135196865	26.4371864803135
active ASO 1	261	23.91	2.78066738591855	10	22.1865244984496	25.6334755015504
active ASO 1	263	23.7	2.91471363182656	10	21.8934417744722	25.5065582255278
active ASO 1	265	24.0125	1.40756882602592	8	23.0371045673677	24.9878954326323
active ASO 1	267	23.375	1.40788595317336	8	22.3993848094664	24.3506151905336
active ASO 1	269	21.9375	0.879833588161502	8	21.3278064294254	22.5471935705746
active ASO 1	271	22.9333333333333	1.08012344973464	6	22.0690545717189	23.7976120949478
active ASO 1	275	22	1.50731549451334	6	20.7938964113035	23.2061035886965
active ASO 1	277	20.05	2.63115944024683	6	17.9446339668995	22.1553660331005
active ASO 1	279	22.15	0.919238815542514	2	20.876	23.424
active ASO 1	281	21.7	0.282842712474618	2	21.308	22.092
active ASO 2	-13	19.9833333333333	0.767325145416126	12	19.5491782616566	20.4174884050101
active ASO 2	126	23.7636363636364	2.42663253389248	11	22.3295881769798	25.1976845502929
active ASO 2	139	25.7272727272727	3.77944199825607	11	23.4937652355229	27.9607802190225
active ASO 2	143	26.2454545454545	3.97953857535359	11	23.8936975332128	28.5972115576963
active ASO 2	147	26.5454545454545	3.85054895732119	11	24.2699255262251	28.820983564684
active ASO 2	155	24.29	3.42456809928882	10	22.1674307015632	26.4125692984368
active ASO 2	163	26.5818181818182	3.95722584187918	11	24.2432471524278	28.9203892112086
active ASO 2	168	24.8	3.41027858099599	11	22.7846541465319	26.8153458534681
active ASO 2	175	27.0363636363636	3.48691058883727	11	24.9757311602406	29.0969961124867
active ASO 2	187	26.2818181818182	3.77380926434238	11	24.0516394230933	28.5119969405431
active ASO 2	189	26.6545454545455	3.9571109755385	11	24.3160423068245	28.9930486022664
active ASO 2	193	26.9090909090909	3.73830296938452	11	24.6998950298041	29.1182867883777
active ASO 2	195	27.6363636363636	4.0354114355968	11	25.2515878737359	30.0211393989913
active ASO 2	197	27.4636363636364	4.11491742985755	11	25.0318755609148	29.8953971663579
active ASO 2	199	27.2090909090909	4.08838710140186	11	24.7930085285787	29.6251732896031
